,id,metadata
708,Candidatus Liberibacter solanacearum CLso-ZC1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhizobiales', 'Rhizobiaceae', 'Candidatus Liberibacter', 'Candidatus Liberibacter solanacearum', 'Candidatus Liberibacter solanacearum CLso-ZC1']}"
709,Candidatus Methanoregula boonei 6A8,"{'taxonomy': ['Archaea', 'Euryarchaeota', 'Methanomicrobia', 'Methanomicrobiales', 'unclassified (derived from Methanomicrobiales)', 'Methanoregula', 'Methanoregula boonei', 'Candidatus Methanoregula boonei 6A8']}"
710,Candidatus Nitrospira defluvii,"{'taxonomy': ['Bacteria', 'Nitrospirae', 'Nitrospira (class)', 'Nitrospirales', 'Nitrospiraceae', 'Nitrospira', 'Candidatus Nitrospira defluvii', 'Candidatus Nitrospira defluvii']}"
711,Candidatus Pelagibacter sp. HTCC7211,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'unclassified (derived from Alphaproteobacteria)', 'unclassified (derived from Alphaproteobacteria)', 'Candidatus Pelagibacter', 'Candidatus Pelagibacter sp. HTCC7211', 'Candidatus Pelagibacter sp. HTCC7211']}"
712,Candidatus Pelagibacter ubique HTCC1002,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'unclassified (derived from Alphaproteobacteria)', 'unclassified (derived from Alphaproteobacteria)', 'Candidatus Pelagibacter', 'Candidatus Pelagibacter ubique', 'Candidatus Pelagibacter ubique HTCC1002']}"
713,Candidatus Pelagibacter ubique HTCC1062,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'unclassified (derived from Alphaproteobacteria)', 'unclassified (derived from Alphaproteobacteria)', 'Candidatus Pelagibacter', 'Candidatus Pelagibacter ubique', 'Candidatus Pelagibacter ubique HTCC1062']}"
714,Candidatus Phytoplasma australiense,"{'taxonomy': ['Bacteria', 'Tenericutes', 'Mollicutes', 'Acholeplasmatales', 'Acholeplasmataceae', 'Candidatus Phytoplasma', 'Candidatus Phytoplasma australiense', 'Candidatus Phytoplasma australiense']}"
715,Candidatus Phytoplasma mali,"{'taxonomy': ['Bacteria', 'Tenericutes', 'Mollicutes', 'Acholeplasmatales', 'Acholeplasmataceae', 'Candidatus Phytoplasma', 'Candidatus Phytoplasma mali', 'Candidatus Phytoplasma mali']}"
716,Candidatus Poribacteria sp. WGA-A3,"{'taxonomy': ['Bacteria', 'Poribacteria', 'unclassified (derived from Poribacteria)', 'unclassified (derived from Poribacteria)', 'unclassified (derived from Poribacteria)', 'unclassified (derived from Poribacteria)', 'Candidatus Poribacteria sp. WGA-A3', 'Candidatus Poribacteria sp. WGA-A3']}"
717,Candidatus Protochlamydia amoebophila UWE25,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Parachlamydiaceae', 'Candidatus Protochlamydia', 'Candidatus Protochlamydia amoebophila', 'Candidatus Protochlamydia amoebophila UWE25']}"
718,Candidatus Puniceispirillum marinum IMCC1322,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'unclassified (derived from Alphaproteobacteria)', 'unclassified (derived from Alphaproteobacteria)', 'Candidatus Puniceispirillum', 'Candidatus Puniceispirillum marinum', 'Candidatus Puniceispirillum marinum IMCC1322']}"
719,Candidatus Regiella insecticola LSR1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Candidatus Regiella', 'Candidatus Regiella insecticola', 'Candidatus Regiella insecticola LSR1']}"
720,Candidatus Riesia pediculicola USDA,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Candidatus Riesia', 'Candidatus Riesia pediculicola', 'Candidatus Riesia pediculicola USDA']}"
721,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'unclassified (derived from Gammaproteobacteria)', 'unclassified (derived from Gammaproteobacteria)', 'unclassified (derived from Gammaproteobacteria)', 'Candidatus Ruthia magnifica', 'Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)']}"
722,Candidatus Solibacter usitatus Ellin6076,"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Solibacteres', 'Solibacterales', 'Solibacteraceae', 'Candidatus Solibacter', 'Candidatus Solibacter usitatus', 'Candidatus Solibacter usitatus Ellin6076']}"
723,Candidatus Sulcia muelleri CARI,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'unclassified (derived from Flavobacteriales)', 'Candidatus Sulcia', 'Candidatus Sulcia muelleri', 'Candidatus Sulcia muelleri CARI']}"
724,Candidatus Sulcia muelleri DMIN,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'unclassified (derived from Flavobacteriales)', 'Candidatus Sulcia', 'Candidatus Sulcia muelleri', 'Candidatus Sulcia muelleri DMIN']}"
725,Candidatus Sulcia muelleri GWSS,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'unclassified (derived from Flavobacteriales)', 'Candidatus Sulcia', 'Candidatus Sulcia muelleri', 'Candidatus Sulcia muelleri GWSS']}"
726,Candidatus Sulcia muelleri SMDSEM,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'unclassified (derived from Flavobacteriales)', 'Candidatus Sulcia', 'Candidatus Sulcia muelleri', 'Candidatus Sulcia muelleri SMDSEM']}"
727,Candidatus Sulcia muelleri str. Hc (Homalodisca coagulata),"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'unclassified (derived from Flavobacteriales)', 'Candidatus Sulcia', 'Candidatus Sulcia muelleri', 'Candidatus Sulcia muelleri str. Hc (Homalodisca coagulata)']}"
728,Candidatus Vesicomyosocius okutanii HA,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'unclassified (derived from Gammaproteobacteria)', 'unclassified (derived from Gammaproteobacteria)', 'unclassified (derived from Gammaproteobacteria)', 'Calyptogena okutanii thioautotrophic gill symbiont', 'Candidatus Vesicomyosocius okutanii HA']}"
729,Candidatus Zinderia insecticola CARI,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Oxalobacteraceae', 'Candidatus Zinderia', 'Candidatus Zinderia insecticola', 'Candidatus Zinderia insecticola CARI']}"
730,Canis lupus familiaris,"{'taxonomy': ['Eukaryota', 'Chordata', 'Mammalia', 'Carnivora', 'Canidae', 'Canis', 'Canis lupus', 'Canis lupus familiaris']}"
731,Capnocytophaga gingivalis ATCC 33624,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga gingivalis', 'Capnocytophaga gingivalis ATCC 33624']}"
732,Capnocytophaga ochracea DSM 7271,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea', 'Capnocytophaga ochracea DSM 7271']}"
733,Capnocytophaga ochracea F0287,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea', 'Capnocytophaga ochracea F0287']}"
734,Capnocytophaga sputigena ATCC 33612,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga sputigena', 'Capnocytophaga sputigena ATCC 33612']}"
735,Capsella bursa-pastoris,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'unclassified (derived from Streptophyta)', 'Brassicales', 'Brassicaceae', 'Capsella', 'Capsella bursa-pastoris', 'Capsella bursa-pastoris']}"
736,Carboxydibrachium pacificum DSM 12653,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Thermoanaerobacterales', 'Thermoanaerobacteraceae', 'Caldanaerobacter', 'Caldanaerobacter subterraneus', 'Carboxydibrachium pacificum DSM 12653']}"
737,Carboxydothermus hydrogenoformans Z-2901,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Thermoanaerobacterales', 'Thermoanaerobacteraceae', 'Carboxydothermus', 'Carboxydothermus hydrogenoformans', 'Carboxydothermus hydrogenoformans Z-2901']}"
738,Cardiobacterium hominis ATCC 15826,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Cardiobacteriales', 'Cardiobacteriaceae', 'Cardiobacterium', 'Cardiobacterium hominis', 'Cardiobacterium hominis ATCC 15826']}"
739,Carica papaya,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'unclassified (derived from Streptophyta)', 'Brassicales', 'Caricaceae', 'Carica', 'Carica papaya', 'Carica papaya']}"
740,Carnobacterium sp. AT7,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Bacilli', 'Lactobacillales', 'Carnobacteriaceae', 'Carnobacterium', 'Carnobacterium sp. AT7', 'Carnobacterium sp. AT7']}"
741,Catenibacterium mitsuokai DSM 15897,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Erysipelotrichi', 'Erysipelotrichales', 'Erysipelotrichaceae', 'Catenibacterium', 'Catenibacterium mitsuokai', 'Catenibacterium mitsuokai DSM 15897']}"
742,Catenulispora acidiphila DSM 44928,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Catenulisporaceae', 'Catenulispora', 'Catenulispora acidiphila', 'Catenulispora acidiphila DSM 44928']}"
743,Catonella morbi ATCC 51271,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Clostridiales', 'Lachnospiraceae', 'Catonella', 'Catonella morbi', 'Catonella morbi ATCC 51271']}"
744,Caulobacter crescentus CB15,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Caulobacterales', 'Caulobacteraceae', 'Caulobacter', 'Caulobacter vibrioides', 'Caulobacter crescentus CB15']}"
745,Caulobacter crescentus NA1000,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Caulobacterales', 'Caulobacteraceae', 'Caulobacter', 'Caulobacter vibrioides', 'Caulobacter crescentus NA1000']}"
746,Caulobacter segnis ATCC 21756,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Caulobacterales', 'Caulobacteraceae', 'Caulobacter', 'Caulobacter segnis', 'Caulobacter segnis ATCC 21756']}"
747,Caulobacter sp. K31,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Caulobacterales', 'Caulobacteraceae', 'Caulobacter', 'Caulobacter sp. K31', 'Caulobacter sp. K31']}"
748,Cellulomonas flavigena DSM 20109,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Cellulomonadaceae', 'Cellulomonas', 'Cellulomonas flavigena', 'Cellulomonas flavigena DSM 20109']}"
749,Cellvibrio japonicus Ueda107,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Pseudomonadaceae', 'Cellvibrio', 'Cellvibrio japonicus', 'Cellvibrio japonicus Ueda107']}"
750,Cenarchaeum symbiosum A,"{'taxonomy': ['Archaea', 'Thaumarchaeota', 'unclassified (derived from Thaumarchaeota)', 'Cenarchaeales', 'Cenarchaeaceae', 'Cenarchaeum', 'Cenarchaeum symbiosum', 'Cenarchaeum symbiosum A']}"
751,Chaetomium globosum CBS 148.51,"{'taxonomy': ['Eukaryota', 'Ascomycota', 'Sordariomycetes', 'Sordariales', 'Chaetomiaceae', 'Chaetomium', 'Chaetomium globosum', 'Chaetomium globosum CBS 148.51']}"
752,Chaetosphaeridium globosum,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Coleochaetophyceae', 'Coleochaetales', 'Chaetosphaeridiaceae', 'Chaetosphaeridium', 'Chaetosphaeridium globosum', 'Chaetosphaeridium globosum']}"
753,Chara vulgaris,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Charophyceae', 'Charales', 'Characeae', 'Chara', 'Chara vulgaris', 'Chara vulgaris']}"
754,Chattonella marina,"{'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'Raphidophyceae', 'Chattonellales', 'Chattonellaceae', 'Chattonella', 'Chattonella marina', 'Chattonella marina']}"
755,Chelativorans sp. BNC1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhizobiales', 'Phyllobacteriaceae', 'Chelativorans', 'Chelativorans sp. BNC1', 'Chelativorans sp. BNC1']}"
756,Chitinophaga pinensis DSM 2588,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Sphingobacteriia', 'Sphingobacteriales', 'unclassified (derived from Sphingobacteriales)', 'Chitinophaga', 'Chitinophaga pinensis', 'Chitinophaga pinensis DSM 2588']}"
757,Chlamydia muridarum MopnTet14,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia muridarum', 'Chlamydia muridarum MopnTet14']}"
758,Chlamydia muridarum Nigg,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia muridarum', 'Chlamydia muridarum Nigg']}"
759,Chlamydia muridarum Weiss,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia muridarum', 'Chlamydia muridarum Weiss']}"
760,Chlamydia phage Chp1,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Microviridae', 'Chlamydiamicrovirus', 'Chlamydia phage Chp1', 'Chlamydia phage Chp1']}"
761,Chlamydia trachomatis 434/Bu,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis 434/Bu']}"
762,Chlamydia trachomatis 6276,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis 6276']}"
763,Chlamydia trachomatis 6276s,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis 6276s']}"
764,Chlamydia trachomatis 70,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis 70']}"
765,Chlamydia trachomatis 70s,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis 70s']}"
766,Chlamydia trachomatis A/HAR-13,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis A/HAR-13']}"
767,Chlamydia trachomatis B/Jali20/OT,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis B/Jali20/OT']}"
768,Chlamydia trachomatis B/TZ1A828/OT,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis B/TZ1A828/OT']}"
769,Chlamydia trachomatis D(s)2923,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis D(s)2923']}"
770,Chlamydia trachomatis D/UW-3/CX,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis D/UW-3/CX']}"
771,Chlamydia trachomatis L2b/UCH-1/proctitis,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis L2b/UCH-1/proctitis']}"
772,Chlamydia trachomatis L2tet1,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia trachomatis', 'Chlamydia trachomatis L2tet1']}"
773,Chlamydomonas reinhardtii,"{'taxonomy': ['Eukaryota', 'Chlorophyta', 'Chlorophyceae', 'Chlamydomonadales', 'Chlamydomonadaceae', 'Chlamydomonas', 'Chlamydomonas reinhardtii', 'Chlamydomonas reinhardtii']}"
774,Chlamydophila abortus S26/3,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydophila', 'Chlamydophila abortus', 'Chlamydophila abortus S26/3']}"
775,Chlamydophila caviae GPIC,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydophila', 'Chlamydophila caviae', 'Chlamydophila caviae GPIC']}"
776,Chlamydophila felis Fe/C-56,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydophila', 'Chlamydophila felis', 'Chlamydophila felis Fe/C-56']}"
777,Chlamydophila pneumoniae AR39,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia pneumoniae', 'Chlamydophila pneumoniae AR39']}"
778,Chlamydophila pneumoniae CWL029,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia pneumoniae', 'Chlamydophila pneumoniae CWL029']}"
779,Chlamydophila pneumoniae J138,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia pneumoniae', 'Chlamydophila pneumoniae J138']}"
780,Chlamydophila pneumoniae TW-183,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia pneumoniae', 'Chlamydophila pneumoniae TW-183']}"
781,Chlamydophila psittaci,"{'taxonomy': ['Bacteria', 'Chlamydiae', 'Chlamydiia', 'Chlamydiales', 'Chlamydiaceae', 'Chlamydia', 'Chlamydia psittaci', 'Chlamydophila psittaci']}"
782,Chlorella vulgaris,"{'taxonomy': ['Eukaryota', 'Chlorophyta', 'Trebouxiophyceae', 'Chlorellales', 'Chlorellaceae', 'Chlorella', 'Chlorella vulgaris', 'Chlorella vulgaris']}"
783,Chlorobaculum parvum NCIB 8327,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobaculum', 'Chlorobaculum parvum', 'Chlorobaculum parvum NCIB 8327']}"
784,Chlorobium chlorochromatii CaD3,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium chlorochromatii', 'Chlorobium chlorochromatii CaD3']}"
785,Chlorobium ferrooxidans DSM 13031,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium ferrooxidans', 'Chlorobium ferrooxidans DSM 13031']}"
786,Chlorobium limicola,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium limicola', 'Chlorobium limicola']}"
787,Chlorobium limicola DSM 245,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium limicola', 'Chlorobium limicola DSM 245']}"
788,Chlorobium luteolum DSM 273,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Pelodictyon', 'Pelodictyon luteolum', 'Chlorobium luteolum DSM 273']}"
789,Chlorobium phaeobacteroides BS1,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium phaeobacteroides', 'Chlorobium phaeobacteroides BS1']}"
790,Chlorobium phaeobacteroides DSM 266,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium phaeobacteroides', 'Chlorobium phaeobacteroides DSM 266']}"
791,Chlorobium phaeovibrioides DSM 265,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobium', 'Chlorobium phaeovibrioides', 'Chlorobium phaeovibrioides DSM 265']}"
792,Chlorobium tepidum TLS,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chlorobaculum', 'Chlorobaculum tepidum', 'Chlorobium tepidum TLS']}"
793,Chloroflexus aggregans DSM 9485,"{'taxonomy': ['Bacteria', 'Chloroflexi', 'Chloroflexi (class)', 'Chloroflexales', 'Chloroflexaceae', 'Chloroflexus', 'Chloroflexus aggregans', 'Chloroflexus aggregans DSM 9485']}"
794,Chloroflexus aurantiacus J-10-fl,"{'taxonomy': ['Bacteria', 'Chloroflexi', 'Chloroflexi (class)', 'Chloroflexales', 'Chloroflexaceae', 'Chloroflexus', 'Chloroflexus aurantiacus', 'Chloroflexus aurantiacus J-10-fl']}"
795,Chloroflexus sp. Y-400-fl,"{'taxonomy': ['Bacteria', 'Chloroflexi', 'Chloroflexi (class)', 'Chloroflexales', 'Chloroflexaceae', 'Chloroflexus', 'Chloroflexus sp. Y-400-fl', 'Chloroflexus sp. Y-400-fl']}"
796,Chloroherpeton thalassium ATCC 35110,"{'taxonomy': ['Bacteria', 'Chlorobi', 'Chlorobia', 'Chlorobiales', 'Chlorobiaceae', 'Chloroherpeton', 'Chloroherpeton thalassium', 'Chloroherpeton thalassium ATCC 35110']}"
797,Chlorokybus atmophyticus,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Chlorokybophyceae', 'Chlorokybales', 'Chlorokybaceae', 'Chlorokybus', 'Chlorokybus atmophyticus', 'Chlorokybus atmophyticus']}"
798,Chondrus crispus,"{'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'Florideophyceae', 'Gigartinales', 'Gigartinaceae', 'Chondrus', 'Chondrus crispus', 'Chondrus crispus']}"
799,Chromerida sp. RM11,"{'taxonomy': ['Eukaryota', 'Chromerida', 'unclassified (derived from Chromerida)', 'unclassified (derived from Chromerida)', 'unclassified (derived from Chromerida)', 'unclassified (derived from Chromerida)', 'Chromerida sp. RM11', 'Chromerida sp. RM11']}"
800,Chromobacterium violaceum ATCC 12472,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Neisseriales', 'Neisseriaceae', 'Chromobacterium', 'Chromobacterium violaceum', 'Chromobacterium violaceum ATCC 12472']}"
801,Chromohalobacter salexigens DSM 3043,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Oceanospirillales', 'Halomonadaceae', 'Chromohalobacter', 'Chromohalobacter salexigens', 'Chromohalobacter salexigens DSM 3043']}"
802,Chryseobacterium gleum ATCC 35910,"{'taxonomy': ['Bacteria', 'Bacteroidetes', 'Flavobacteriia', 'Flavobacteriales', 'Flavobacteriaceae', 'Chryseobacterium', 'Chryseobacterium gleum', 'Chryseobacterium gleum ATCC 35910']}"
803,Chrysodidymus synuroideus,"{'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'Synurophyceae', 'Synurales', 'Synuraceae', 'Chrysodidymus', 'Chrysodidymus synuroideus', 'Chrysodidymus synuroideus']}"
804,Chthoniobacter flavus Ellin428,"{'taxonomy': ['Bacteria', 'Verrucomicrobia', 'Spartobacteria', 'unclassified (derived from Spartobacteria)', 'unclassified (derived from Spartobacteria)', 'Chthoniobacter', 'Chthoniobacter flavus', 'Chthoniobacter flavus Ellin428']}"
805,Ciona intestinalis,"{'taxonomy': ['Eukaryota', 'Chordata', 'Ascidiacea', 'Enterogona', 'Cionidae', 'Ciona', 'Ciona intestinalis', 'Ciona intestinalis']}"
806,Citreicella sp. SE45,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodobacterales', 'Rhodobacteraceae', 'Citreicella', 'Citreicella sp. SE45', 'Citreicella sp. SE45']}"
807,Citrobacter freundii,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Citrobacter', 'Citrobacter freundii', 'Citrobacter freundii']}"
808,Citrobacter koseri ATCC BAA-895,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Citrobacter', 'Citrobacter koseri', 'Citrobacter koseri ATCC BAA-895']}"
809,Citrobacter rodentium ICC168,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Citrobacter', 'Citrobacter rodentium', 'Citrobacter rodentium ICC168']}"
810,Citrobacter sp. 30_2,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Citrobacter', 'Citrobacter sp. 30_2', 'Citrobacter sp. 30_2']}"
811,Citrobacter youngae ATCC 29220,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Enterobacteriales', 'Enterobacteriaceae', 'Citrobacter', 'Citrobacter youngae', 'Citrobacter youngae ATCC 29220']}"
812,Citromicrobium bathyomarinum JL354,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Sphingomonadales', 'Sphingomonadaceae', 'Citromicrobium', 'Citromicrobium bathyomarinum', 'Citromicrobium bathyomarinum JL354']}"
813,Citrus sinensis,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'unclassified (derived from Streptophyta)', 'Sapindales', 'Rutaceae', 'Citrus', 'Citrus sinensis', 'Citrus sinensis']}"
814,Clavibacter michiganensis subsp. michiganensis NCPPB 382,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Microbacteriaceae', 'Clavibacter', 'Clavibacter michiganensis', 'Clavibacter michiganensis subsp. michiganensis NCPPB 382']}"
